"Métrica","Unidad","Descripción","Interpretación"
"Tiempo Total","segundos","Tiempo completo desde envío de request hasta recepción de respuesta","Menor es mejor. Representa la latencia percibida por el usuario"
"Tiempo de Conexión","segundos","Tiempo para establecer conexión TCP","Indica latencia de red. Debería ser < 0.01s en localhost"
"TTFB (Time To First Byte)","segundos","Tiempo hasta recibir el primer byte de respuesta","Indica tiempo de procesamiento del servidor"
"Planning Time (SQL)","milisegundos","Tiempo que PostgreSQL tarda en planificar la query","Tiempo de optimización de consulta"
"Execution Time (SQL)","milisegundos","Tiempo real de ejecución de la query","Tiempo de acceso a datos"
"Código HTTP","número","Código de respuesta HTTP (200, 401, 500, etc.)","200 = OK, 401 = No autorizado, 500 = Error del servidor"
"Tamaño Descarga","bytes","Tamaño de la respuesta HTTP en bytes","Mayor tamaño puede indicar mayor tiempo de transferencia"
"Promedio","segundos/ms","Media aritmética de todos los valores","Valor típico esperado para la operación"
"Mínimo","segundos/ms","Valor más bajo registrado","Mejor caso posible bajo condiciones ideales"
"Máximo","segundos/ms","Valor más alto registrado","Peor caso registrado, puede indicar outlier"
"Mediana","segundos/ms","Valor del medio de la distribución","Menos sensible a outliers que el promedio"
"Desv. Estándar","segundos/ms","Dispersión de los valores respecto al promedio","Menor valor = más consistente. Mayor valor = más variabilidad"
"Percentil 95 (P95)","segundos/ms","95% de los requests están por debajo de este tiempo","Útil para identificar el rendimiento típico sin outliers extremos"
"Percentil 99 (P99)","segundos/ms","99% de los requests están por debajo de este tiempo","Indica peor escenario sin considerar el 1% más lento"
"Throughput","requests/segundo","Número de requests procesados por segundo","Mayor es mejor. Indica capacidad del sistema"
"Degradación","porcentaje","Aumento de latencia bajo carga concurrente","Indica qué tan bien escala el sistema con múltiples usuarios"
