Timestamp,Timestamp_Unix,Contenedor,CPU_Porc,RAM_MB,RAM_Limite_MB,RAM_Porc,Disco_Read_MB,Disco_Write_MB,Net_In_MB,Net_Out_MB
2026-02-06 00:06:06,1770336366,pos_ml_prediction_api,0.09,103.7,8095.74,1.28,864,257,25.9,0.142578
2026-02-06 00:06:06,1770336366,pos_frontend,0.19,9.137,8095.74,0.11,22,0.603516,0.138672,3.65
2026-02-06 00:06:06,1770336366,pos_backend,0.49,496.6,8095.74,6.13,1259.52,2232.32,50.4,52.2
2026-02-06 00:06:06,1770336366,pos_database,4.44,55.09,8095.74,0.68,259,16.9,50.9,39.7
2026-02-06 00:06:10,1770336370,pos_ml_prediction_api,0.10,103.7,8095.74,1.28,864,257,25.9,0.142578
2026-02-06 00:06:10,1770336370,pos_frontend,0.00,7.91,8095.74,0.10,22,0.603516,0.143555,3.67
2026-02-06 00:06:10,1770336370,pos_backend,0.86,496.1,8095.74,6.13,1259.52,2232.32,50.4,52.3
2026-02-06 00:06:10,1770336370,pos_database,0.18,54.9,8095.74,0.68,259,16.9,50.9,39.7
2026-02-06 00:06:15,1770336375,pos_ml_prediction_api,0.09,103.4,8095.74,1.28,864,257,25.9,0.142578
2026-02-06 00:06:15,1770336375,pos_frontend,0.00,7.91,8095.74,0.10,22,0.603516,0.143555,3.67
2026-02-06 00:06:15,1770336375,pos_backend,0.54,496,8095.74,6.13,1259.52,2232.32,50.4,52.3
2026-02-06 00:06:15,1770336375,pos_database,24.14,56.25,8095.74,0.69,259,16.9,50.9,39.7
2026-02-06 00:06:19,1770336379,pos_ml_prediction_api,0.09,103.4,8095.74,1.28,864,257,25.9,0.142578
2026-02-06 00:06:19,1770336379,pos_frontend,0.00,7.91,8095.74,0.10,22,0.603516,0.143555,3.67
2026-02-06 00:06:19,1770336379,pos_backend,0.48,496,8095.74,6.13,1259.52,2232.32,50.4,52.3
2026-02-06 00:06:19,1770336379,pos_database,19.96,56.04,8095.74,0.69,259,16.9,50.9,39.7
2026-02-06 00:06:23,1770336383,pos_ml_prediction_api,0.09,103.4,8095.74,1.28,864,257,25.9,0.142578
2026-02-06 00:06:23,1770336383,pos_frontend,0.00,7.906,8095.74,0.10,22,0.603516,0.143555,3.67
2026-02-06 00:06:23,1770336383,pos_backend,9.10,497.8,8095.74,6.15,1259.52,2232.32,50.8,52.7
2026-02-06 00:06:23,1770336383,pos_database,2.36,56.36,8095.74,0.70,259,16.9,51.1,40
2026-02-06 00:06:27,1770336387,pos_ml_prediction_api,0.68,104.3,8095.74,1.29,865,258,26,0.152344
2026-02-06 00:06:27,1770336387,pos_frontend,0.00,8.586,8095.74,0.11,27,0.603516,0.143555,3.67
2026-02-06 00:06:27,1770336387,pos_backend,0.51,496.6,8095.74,6.13,1280,2232.32,50.9,52.7
2026-02-06 00:06:27,1770336387,pos_database,0.00,55.94,8095.74,0.69,262,16.9,51.2,40.1
2026-02-06 00:06:32,1770336392,pos_ml_prediction_api,0.09,103.3,8095.74,1.28,865,258,26,0.152344
2026-02-06 00:06:32,1770336392,pos_frontend,0.00,8.586,8095.74,0.11,27,0.603516,0.143555,3.67
2026-02-06 00:06:32,1770336392,pos_backend,1.62,497.2,8095.74,6.14,1280,2232.32,51,52.8
2026-02-06 00:06:32,1770336392,pos_database,3.96,56.34,8095.74,0.70,262,16.9,51.2,40.1
